Nomer;Massage
30339;На КОС ГП-1В стеклянный цилиндр с носиком (для определения дозы ила по объему) имеет продольную трещину, существует риск травмирования оператора ОС при выполнении должностных обязанностей.
30340;"В соответствии с п. 12 «Правила противопожарного режима в Российской Федерации» ""организации обеспечивает категорирование по взрывопожарной и пожарной опасности помещений с обозначением их категорий на входных дверях помещений"". Нарушение требований пожарной безопасности, возможные последствия - предложение по пожарной безопасности от инженера ПЧ №4 или статья 20.4. Нарушение требований пожарной безопасности КоАП РФ."
30341;поз.4 возле  ПК-11 посторонние предметы
30342;Повреждение изоляции на трупроводе входа в Е-8Б1
30343;"поз.1 на ЭКМ (шлейф12) отклеилась пломба ""Опломбировано"""
30344;"поз.12 40Н1/2 на манометре сместилась от вибрации ""красная стрелка"""
30345;Порвона информационная табличка на емкости Е-16.1
30346;Отсутствует сигнальная лента на маршевой лестнице Е-16 
30347;Нарушена целостность лкп ограждения лестницы перехода возле ГФУ
30348;ТКРДиМ ВХ-2А/1,2 ослаблены растяжки(троссы натяжители) диффузоров
30349;Территори ГП площадка обслуживани киповских кранов на ГГУ не окрашена,провисает дверца
30350;РВС маршевая лестница П2 отсутствует табличка с датами испытаний (пригодностью к эксплуатации).
30351;ГПА-721 на входной двери в укрытие арматурного блока со стороны АВО оторвана нижняя петля.
30352;"БПТИГ (возле входа в помещение теплового узла) ""Кнопка включения средств и систем пожарной автоматики"" перекрыта листом железа."
30353;Б/Б слесарей-сантехников сортировка и отбраковка рожковых ключей на несоответствие допустимым значениям полученным в процессе эксплуатации (превышению допустимого расхождения зева ключа и гайки).
30354;УПТГ тепловой узел на грязевике отсутствует манометр.
30355;УПТГ (тепловой узел) знак безопасности огнетушитель F04 установлен на недостаточной высоте от пола.
30356;БПТИГ (тепловой узел) на распределительном коллекторе в термокармане отсутствует градусник. 
30357;УОГ вентиляционная камера П 1-2 нарушена целостность мягкой вставки.
30358;Проходная галерея в ЦПГ на уровне лица крюк из электрода.
30359;В проходной галереи в ЦПГ на винтеле выдавливания воздуха из теплоспутника из УТ-1.9 отсутствует заглушка Ду-15.
30360;Наличие загрязнённости пола в ангаре ГПА №-914.
30361;Посторонние предметы на площадке обслуживания ГПУ №214
30362;Территория ГП- водостоки(ливневка) много травы,после покоса
30363;Территория ГП-пропуск воды по фланцевому соединению  при пропарке ЕП-1
30364;Открыт шкаф пожарного гидранта в ЦРМ.
30365;Шланг на проходе возле емкости Е-12. Опасность спотыкания о лежащий предмет.
30366;Прокладка на площадке обслуживания К-1/1 в ЦРД. Опасность падения постороннего предмета с высоты на работников.
30367;В коридоре здания АБК МРУ на полу обнаружен мусор (обрезки картона).
30368;Перегорела лампа искусственного освещения в мужском туалете здания АБК МРУ.
30369;Неисправность доводчика двери П-1.3
30370;Подтеки под насосом Н-6.1
30371;Посторонние предметы (теплоизоляция) под лестницей вход в отсек автоматики ГПУ-212.
30372;В женской душевой бассейна сломан шланг душа ( расплелся ) , в туалете женской раздевалки бассейна не работает освещение .
30373;АБК ЦЭС НУ, сварочный цех, перегорела лампа аварийного освещения.
30374;Загрязнение и пыль на поверхности вентиляционного оборудования (ЦРД)
30375;УП №2 Надломана табличка обозначения Ш.Кр. №36р
30376;Перегорела лампа аварийного освещения в аппаратной ПЭБ
30377;Разряжен газоанализатор СГГ-20 №1939
30378;"Отстутствует знак ""Держаться за перила"" у лестницы с правой стороны"
30379;"Отсутствует знак ""Держаться за перила"" на лестнице"
30380;Ослабло крепление информационной таблички крана Г-520
30381;В слесарной мастерской РММ сломаны тиски слесарные.
30382;Посторонние предметы в комнате моющего раствора ПЭБ.
30383;Ослабло крепление заземляющего провода на приборе КИП в отсеке нагнетателя ГПУ-111.
30384;БПП, слесарная мастерская, после окончания работ остался инструмент на верстаке. 
30385;ГТЭС-15, ОБУ: розеточный удлинитель №9 повреждена бирка о дате следующего испытания.
30386;КГС№16 скв.3 на кабеле КИП отсутствует кабельная бирка
30387;КЦ-2 Т/А 323 отсек двигателя, пыль на технологическом оборудование. 
30388;Повреждение ЛКП устройства для верхнего налива СК
30389;Посторонние предметы на площадке обслуживания ШК 21.
30390;Территория ГП на УОКе не дозакрывается входная дверь-плохо работает даводчик
30391;Территория ГП ПГ10 (возле Е10) заземление для пож,машины сломан крепеж
30392;Скопление скошенной травы в ливневой канализации между РВС и БВП.
30393;Под площадкой УТ-2.1 посторонние предметы свисающие (привязи из проволоки).
30394;УПТ 1 этаж за емкостью Е-2 не работает освещение.
30395;УПТ возле вытяжной вентиляции В-1 посторонние предметы (гайки, шайбы, болты)
30396;"УПТ на кране ""Давление газа на входе в УПТ"" отсутствует бирка с номером."
30397;На трубопроводной эстакаде возле б/б слесарей-сантехников приварена арматура с острыми краями.
30398;УПТ течь насоса насоса НП-2 (AXE40-25-160).
30399;"РВС тепловой узел восстановление затёртого обозначения направления ""Открытия-закрытия"" задвижек Д8, Д13."
30400;Затёртость обозначения перепада по высоте УПТ 1 этаж.
30401;РВС выход со второго этажа на перилах маршевой лестницы металлическая окалина с острыми краями.
30402;ГПА-724 в арматурном блоке из за деформации окожушки образовались острые края.
30403;Отсутствует обозначение направления вращения «Открыто-Закрыто» на маховике  БРС люк-лаза Е-15 (п.3.4.8 чек-лист оператора днг).
30404;Посторонние предметы на площадке обслуживания КИП (расходомер ВМР) ПОРДиМ (п.2.1.2 чек-лист оператора днг).
30405;Отсутствует стопорная гайка на штурвале кр. №-27. 
30406;Не обозначены сигнальной разметкой ступеньки эвакуационного выхода с БППП (п.2.2.7 чек-лист оператора днг)
30407;Торчит арматура дорожной плиты на пути передвижения персонала возле УОК.
30408;Снят доводчик двери в б/б насосной метанола (п.2.2.1 чек-лист оператора днг).
30409;Слабый заряд газоанализатора СЕАН-Н №7960.
30410;Посторонние предметы (прокладка) на площадке обслуживания Р-2/1.
30411;БППП комната приема пищи-забита канализация
30412;ТКРДиМ ВХ-2 недостаточно освещенности
30413;Оторван  профлист на коньке крыши УПТИГ-2
30414;Посторонние предметы (ведра,ветошь) на маршруте обхода
30415;Не работает кнопка включения освещения в ангаре ГПА.
30416;Посторонние предметы в холодном складе.
30417;Подтеки масла в поддоне ОМЭ.
30418;"Отвалилась табличка ""ответственные за пож. безопасность"" на входной двери со стороны поз.313."
30419;Беспорядок в помещении 108.
30420;Подтеки масла в поддонах фильтров Ф4, Ф5.
30421;Заедает ручка входной двери в отсек управления.
30422;Посторонние предметы на секции 18.
30423;Подтеки масла в компрессорном отделении поз.22.1.2.
30424;Выцвели таблички направления движения рукоятки КШ И1, И2, И3, И4 кранового узла №15.
30425;Посторонние предметы на верстаке в пом. 115 базы УМС
30426;Подтеки смазочных материалов в маслохозяйстве КЦ-1.
30427;В ТКПГ в пож. ящике №5, недостаточное количество песка.
30428;Посторонние предметы в (ЦПГ)
30429;"В санитарно-бытовом помещении административного здания «Вахта-80» ВЗИС СРТ (1 этаж; мужской санитарный узел) выявлено отсутствие смывающих средств (мыло туалетное твердое / жидкое): в наличии смывающее средство иного типа (мыло хозяйственное твердое). "
30430;поз.18 нарушена гофра на кабеле КИП (плотномер)
30431;Недостаточный уровень масла в лубрикаторе компрессора ВК-1 ЦРДиМ.
30432;Подтеки масла в приямках компрессора ВК-1 ЦРДиМ.
30433;Подтеки масла под лубрикатором компрессора ВК-2 ЦРДиМ.
30434;Свищ на выходном трубопроводе от насоса Н-2а-2 ЦРДиМ.
30435;Свищ в дренажной линии ВМР от насосов Н-4а-1-4.
30436;Не читается бирка на огнетушителе ОПА-100 в ПОРД.
30437;Не читается бирка на огнетушителе ОПА-100 в ПОРМ.
30438;Упала защита вентилятора ВХ-1/2 ЦРДиМ.
30439;Нарушено огрождение вентилятора ВХ-3/4 ЦРДиМ.
30440;Отсутствует информационная табличка ш.кр. №13.
30441;Не исправно ограждение вентилятора ВХ-2/6 ЦРДиМ.
30442;Не исправно ограждение вентилятора ВХ-2/4 ЦРДиМ.
30443;Отпала табличка с указанием эвакуационного выхода из БППП
30444;Перегорела лампа аварийного освещения в тамбур шлюзе 
30445;Не вращается штурвал ЗРА №17 в арматурном блоке ПОРМ №1
30446;Посторонние предметы на площадке нагнетателя ГПА № 723
30447;Недостаточно освещения в ОД ГПА №721.
30448;Посторонние предметы на ВХ-2А2
30449;Наличие кусков металлолома в шкафу ПТПГ №2, 2 очереди ДКС.
30450;"Нарушена маркировка оборудования ""ВОТ-1"", ГПА №-911."
30451;Недостаточная освещенность помещения по маршруту обхода вследствие неисправности осветительного прибора. АР-01, Н-2к.1,2
30452;"Территория ГП коллектор ""сухого"" газа плохо видны обозначения "
30453;ТКРДиМ возле Е-4 пропуск по вентелю  на линии воздуха КИПа
30454;Не работает приточно-вытяжная вентиляция в ТКПГ вследствие самопроизвольного отключения при посадке напряжения в сети (п.3.5.2 чек-лист оператора днг).
30455;Загромождение пути передвижения персонала в ТКДиМ возле шкафа ДПД (СИЗОД ПШ-1).
30456;Переходники для пропарки оборудования не убраны в шкаф хранения инвентаря.
30457;Отсутствует обозначение (открыто-закрыто) на вентиле подачи газа к запальникам печи ППГ1/4
30458;Возле компрессорной КИПа на полу подтеки дождевой воды
30459;ППУ-манометр по давлению вышел из строя 
30460;Ослабло крепление доводчика двери отсека нагнетателя
30461;Приямок каре одоризационной емкости заполнен водой.
30462;"Пункт 2.2.3
Посторонние предметы около  Р 3/2 В цеху ЦРМ."
30463;"Пункт 3.5.2
Отложение пыли и грязи на решетках В-3."
30464;"Пункт 2.1.2
Посторонние предметы на наружней территории по маршруту обхода."
30465;"Пункт 3.1.5
Низкий уровень масла в картере Н-20/6."
30466;Знак указывающий высоту компенсатора трубопроводов, между УТЕ и компрессорной, ослабло крепление.
30467;Недостаточное освещение распредузла б/б ПРГСН
30468;поз.2  (тамбур) отлетела информационная табличка  ответственного за пожарную безопасность
30469;В ТКПГ в НМ, возле Н-4/2 , на полу масляные пятна.
30470;Отсутствует освещение в БОА № 913
30471;Следы масла на полу и в поддоне ОМА.
30472;"Не закреплён знак безопасности ""курение запрещено""на наружней стенке у двери в ЦПГ со стороны узла подключения ДКС"
30473;Отсутствует табличка держаться за поручни, входная лестница  УП-1
30474;Сломан доводчик двери в блок-боксе одоризации.
30475;Нарушена целостность ЛКП кр. №-36а.
30476;Нарушено информационное обозначение принадлежности выходного коллектора КЦ-1
30477;Неисправен манометр в насосной ГСМ
30478;Нарушено ЛКП на ЗРА дренажной ёмкости Е-1 №2, ГПА №215.
30479;Провал тротуарной плитки в районе ГПА №214. 
30480;Посторонние предметы на площадке обслуживания ГФУ после проведения огневой работы.
30481;Разряжен газоанализатор Ганк-4ех.
30482;Посторонние предметы на площадке обслуживания Е-208.
30483;Постронние предметы на полщадке обслуживания Е-205.
30484;На одной секции забора здания АБК МРУ частично отсутствует ЛКП.
30485;При отборе проб воздушной среды в производственных помещениях согласно графика отбора проб, была обнаружена микроутечка на 16 т.н. на стойке КИП, ЭКМ предупредительной сигнализации.
30486;На АВО газа КЦ-1,после проведения покрасочных работ, отсутствует нумерация кранов согласно технологической схемы.
30487;Постронние предметы на полщадке обслуживания ГПА №724
30488;Ослабло крепление доводчика двери отсека Двигателя ГПА №715.
30489;Не достаточное освещение в ОА ГПА №712
30490;КЦ-1 Т/А 313 отсек автоматики, посторонние предметы.
30491;КЦ-2 УПТТиГ аппаратная КИПиА, пыль на оборудование. 
30492;На перилах центрального входа здания АБК МРУ имеются заусеницы.
30493;Посторонние предметы (прокладки и фланцы) ввоздухо заборной камере ВХ-2 
30494;"ГТЭС-24, ОБУ, ЗРП, ВАЗП-1,2. На задних крышках отсутствует знак ""Осторожно электрическое напряжение"""
30495;"Нарушена маркировка ""направление потока среды"" на трубопроводе сброса газа на свечу КЦ-2."
30496;Не убраны инструменты после проведения работ в ЦПГ
30497;На лестнице между ощежитием №44 и зданием Поссовета, в направлении от общежития в сторону КСК наклон третьей ступени снизу не соответствует наклону других ступеней. Возможно спотыкание, падение и травмирование людей, передвигающихся по этой лестнице.
30498;Нарушена целостность ЛКП пандуса на входе в ЗХД.
30499;Недостаточное освещение арматурного блока А-1/7(ЦПГ)
30500;Нарушина целостность АКП крана № 21
30501;Посторонние предметы на Е-10/2
30502;Нарушена целостность ЛКП крана №21
30503;Стремянка-подмость в ЦРД мешает свободному проходу по маршруту обхода обслуживающего персонала. 
30504;Посторонние предметы на маршруте обхода( хоз.инструмент)
30505;Разряжен газоанализатор СГГ-20 Микро №5936.
30506;На трубопроводе сброса азота Р=1,0 МПа на свечу, (в районе ГПА №211) плохо читаема табличка с названием линии.  
30507;"На перилах лестничного марша входа в ПЭБ (п.324) сломана табличка ""держись за перила"".   "
30508;Не достатаочно освещение в отсеке маслоагрегатов ГПА№123
30509;Не исправен доводчик двери ОД ГПА №722
30510;Территория ГП- место работы ППУ сорвало сигнальную ленту
30511;ТКРДиМ восле Е-3 пропуск воздуза КИПа
30512;ЗППА концевики на Г101/409,413 не замыкают(недозакрыты)
30513;ПРМ неисправен манометр на 408 куст
30514;ТКПГне все  вентеля САЗ опломбированы
30515;Посторонние предметы на УТЕ, деревянные паллеты, трубы.
30516;Недостаточный уровень масла в картере компрессора ВК-1 ЦРДиМ.
30517;Недостаточный уровень масла в лубрикаторе компрессора ВК-1 ЦРДиМ.
30518;Посторонние предметы на площадке обслуживания А-1/2 ЦПГ.
30519;Посторонние предметы на площадке обслуживания А-1/7 ЦПГ.
30520;Неисправен доводчик двери БППП.
30521;Посторонние предметы на пути обхода у входа в ЦПГ со стороны ППА.
30522;Неисправность замка двери (заедание личинки)вход в БПТПГ со стороны СПУ на КЦ-2.
30523;При движении по тротуару со стороны второго модуля, в направлении здания Инженерно-технического центра, вдоль дороги расположены световые опоры. На пятой опоре по ходу движения от второго модуля, оборвана стяжка, удерживающая кабель. При работах, связанных с покосом травы, работники могут зацепиться сами, либо ее может намотать на инструмент и можно получить травму, так как она находится на уровне травы. 
30524;"В соответствии с п. 26 «Правила противопожарного режима в Российской Федерации» ""Запоры (замки) на дверях эвакуационных выходов из поэтажных коридоров, холлов, фойе, вестибюлей, лестничных клеток, зальных помещений, за исключением объектов защиты, для которых установлен особый режим содержания помещений (охраны, обеспечения безопасности), должны обеспечивать возможность их свободного открывания изнутри без ключа."". Нарушение требований пожарной безопасности, возможные последствия - предложение по пожарной безопасности от инженера ПЧ №4 или статья 20.4. Нарушение требований пожарной безопасности КоАП РФ."
30525;Оборван провод заземления на датчике давления воды на входе утилизатора ГПА-122.
30526;Отсутствует обозначение (открыто-закрыто) на задвижке №11 в БПТиИГ.
30527;Нарушение ЛКП на трубопроводесброса газа на свечу ГПА №426.
30528;Посторонние предметы в (ЦРД)
30529;Поз.1  (Тамбур) отлетела информационная табличка ответственного за пожарную безопасность.
30530;Поз.4 За пробка- уловителем 10ПУ-1/1 посторонние предметы (ветошь).
30531;Не читаема  номерация  ЗРА №- Г58 на линии подачи газа у ПРГСН от ДКС 
30532;"Поз.10  (Парк хранения метанола)-Повреждение знака безопасности ""Держаться за перила"" на маршевой лестнице."
30533;Поз.4  Разделитель 10Р-1/3 отпала схема подключения .
30534;Поврежденная изоляция трубопровода крана № 37-1.
30535;Здание УМВ. В подсобном помещении электровыключатель соскочил с посадочного места в кабельном канале.
30536;Не горит лампа аварийного освещения в наполнительном отделении поз. 22.16.
30537;Дождевая вода на полу ПОРДиМ.
30538;Сорвана пломба на ПК№3 ЦРДиМ
30539;Посторонние предметы в ПРМ на ППА, (бочка из под краски, валик, ветошь)
30540;Масляное пятно в здании горячих насосов возле Н-2Г2
30541;Посторонние предметы на пути прохода к БВП.
30542;Посторонние предметы на пути прохода к БВС.
30543;В шкафу дежурного слесаря ЦРДиМ обнаружен сломанный молоток.
30544;Оторвана пломба шкафа  инвентаря аварийного запаса БППП.
30545;В здании БВС 1 этаж у огнетушителя ОП-8 оторвана бирка.
30546;В СЭБ в шкафу хранения инвентаря аварийного запаса испорчена бирка на лямочном поясе комплект № 13.
30547;Подтеки, мусор под задвижкой Д-4 Р-1.1 в ТКДиМ (п.3.2.7 чек-лист оператора днг).
30548;Не закреплен заземляющий провод корпуса Н-9.1 в ТКДиМ. 
30549;Посторонние предметы (инструмент, прокладки) возле Р-1.2 ТКДиМ (п.2.2.3 чек-лист опертаора днг)
30550;Оторван знак безопасности о малозаметном препятствии на двери тамбур-шлюза ТКПГ (п.2.1.7 чек-лист оператора днг)
30551;Нарушено ЛКП трубопровода подачи газа на ГФУ
30552;Грязные пятна на полу в ангаре ГПА №917
30553;Мусор, посторонние предметы в слесарной мастерской п.324.
30554;На трубопроводе кольцевой линии ДКС в районе ГПА №214 пришла в негодность табличка с названием и направлением транспортируемой среды.
30555;"Место работы ППУА не обозначено знаком ""Осторожно! Тепловая обработка"" (проезд между АВО газа и ТКДиМ)."
30556;Перегорела лампа аварийного освещения ОД ГПУ №213
30557;Подтеки воды под насосоми Н-5а в ТКДиМ.
30558;Нарушено лакокрасочное покрытие поручней площадки обслуживания входа в помещение УП ДКС
30559;ЕП-1 после проведения газоопасных работ посторонние предметы
30560;БППП- шкаф САУ УРД- шумит вентелятор охлаждения
30561;ДЭС 1,2,3-ложное срабатывание открытия двери
30562;Посторонние предметы на площадке нагнетателя ГПА № 714
30563;Не исправна опора входной площадки в АБК, риск падения работника.
30564;Подтеки масла по штоку вентиля дренажной линии компрессора ВК-1 ЦРДиМ.
30565;Подтеки масла в приямках компрессора ВК-1 ЦРДиМ.
30566;Подтеки масла в приямках компрессора ВК-2 ЦРДиМ.
30567;Посторонние предметы на площадке обслуживания Р-1-2 ЦРДиМ.
30568;При обходе по маршруту, были обнаружены посторонние предметы, пустая тара из под ЛКМ.
30569;Нарушена целостность ЛКП перил площадок обслуживания кр. №-24, 25.
30570;ЯГТЭС, Модуль 3, машзал, розетка 12В ГТУ-6, выявлена трещина корпуса розетки.
30571;На позиции 2.13в в 4 кабинете перегорела лампа ЛБ-18. 
30572;Недостаточный уровень масла в маслобаке маслостанции ППА.
30573;Отсутстствует бирка на лямочной привязи инв № 3А в БВС.
30574;Посторонние предметы на площадке перед входом в БВС. Риск падения работника. 
30575;поз.4  10ДР1 слетела крышка с кабельного короба
30576;поз.84 (Азотная станция) ложное срабатывание кислородного датчика Хоббит (высокая температура в помещении)
30577;Над пожарным гидрантом ПГ-14 на информационной табличке лопнул знак F09.
30578;На крышке люка канализационного колодца №4 погнута ручка.
30579;В УТ 1.19 на задвижке №2, и задвижке №3 отсутствуют бирки.
30580;На пожарно хозяйственном водоводе облетело обозначение вода, отопление (зелёная полоса с цифрами 1.4).
30581;Неисправен доводчик двери коридора 1 этажа БППП
30582;На печи ПОРМ 1/5 не крутиться гайка подключения паротушения.
30583;На теплоспутнике обогрева пож водовода (напротив ГПА-711) не герметична задвижка ДУ-50.
30584;Нарушено ЛКП перильного ограждения(ППА)
30585;Наличие кусков металлолома на площадке обслуживания АВО 1 очереди ДКС.
30586;Поз.12 (Насосная метанола).Неплотное прилегание скользящей опоры трубопровода линии нагнетания 40Н-3/1.
30587;Поз.12 (Насосная метанола).Подтеки масла под насосом 30Н-1/2/
30588;Поз.120 (Азотная установка).Отсутствует несколько бирок с номером ЗРА.
30589;Подтеки масла по станине насоса Н-10-8 ЦРДиМ.
30590;Отломан шланчик распылитель огнетушителя ОП-8 № 24 в УАЛКП.
30591;Повреждена бирка ОП-8 № 23 в УАЛКП.
30592;Посторонние предметы на пути обхода возле Е-1-1 УОГ.
30593;"Отсутствие маркировки ""Открыто""-""Закрыто"" на штурвале ЗРА №162 "
30594;Сломан замок на входной двери слесарной мастерской №2.
30595;Нарушена целостность ЛКП перил площадки обслуживания кр №37
30596;Нарушено ЛКП на трубопроводе топливного газа на факел
30597;Нарушено ЛКП свайного основания трубопроводов под галереей у БППП
30598;Низкое давление в огнетушителе ОП-08 (пульт ГП, ДКС)
30599;Необходимо убрать подтеки масла в приямках компрессора ВК-1 (п.3.1.6 чек-лист оператора днг).
30600;Компрессорная КИП. Низкий уровень масла в лубрикаторе компрессора ВК-1 (п.3.1.5 чек-лист оператора днг).
30601;Заблокирована в открытом состоянии дверь в УОК (п.2.2.1 чек-лист оператора днг).
30602;ТКДиМ УРМ. Отстегнут ствол от пож.рукава в ПК-7 (п.1.7. чек-лист оператора днг).
30603;Посторонние предметы (мусор) под площадкой обслуживания крана № 1 ГПА № 215.
30604;Сломан крепёж таблички с номером дренажа крана №6 ГПА №217 
30605;Недостоверные показания (завышает, датчики по месту показывают корректно) Р после 1ст. редуцирования ГСН, Р воздуха КИП на АРМ УРД (п.3.1.1 чек-лист оператора днг).
30606;Неисправна  ТСМ на АВОгаза 9 секция
30607;Масляные пятна на полу помещения МКЦ-2
30608;Отсутсвует аварийное освещение в отсеках ГПА-223.
30609;ТКРДиМ провисание кабелей возле стены напротив К1/2
30610;На лестничном марше 2 этажа здания ИТЦ не закреплен доводчик двери (висит в дверном проеме), что создает угрозу травмирования головы человека.
30611;Передвижная электролаборатория S-110. Нарушено крепление аппарата ГИ32/2000 к корпусу лаборатории
30612;Территория ГП-после работы ППУ подтеки масла
30613;Поз.4.1. На клеммной коробке КСВ-2№1, посторонний предмет.
30614;Поз.21. Посторонние предметы.
30615;Поз.302. Посторонние предметы.
30616;ТКРДиМ на Р1/А при проведении работ -недостаточно лент ограничения
30617;Нарушена целостность лкп корпуса привода Г-103 гш 716 ППА
30618;ТКРДиМ даводчик двери на ВХ-2А сломан
30619;Не работает лампа освещения на сверлильном станке (БВС)
30620;Не читаемая табличка на тали в компрессорной.
30621;Низкий уровень масла в картере компрессора ВК-1
30622;Посторонние предметы возле емкости Е-12 ЦРМ (ключи,ветошь)
30623;Сломан доводчик на двери (вход в сварочный пост)
30624;Оторван профлист на здании УПТ
30625;Порвана мягкая вставка на вентиляторе в сварочном посту.
30626;"В соответствии с п. 26 «Правила противопожарного режима в Российской Федерации» ""Запоры (замки) на дверях эвакуационных выходов из поэтажных коридоров, холлов, фойе, вестибюлей, лестничных клеток, зальных помещений, за исключением объектов защиты, для которых установлен особый режим содержания помещений (охраны, обеспечения безопасности), должны обеспечивать возможность их свободного открывания изнутри без ключа."". Нарушение требований пожарной безопасности, возможные последствия - предложение по пожарной безопасности от инженера ПЧ №4 или статья 20.4. Нарушение требований пожарной безопасности КоАП РФ."
30627;В ЦРД под насосами Н5а лужа воды. Забит дренаж.
30628;Посторонние предметы в помещении УП КЦ-1
30629;КЦ-1 УП Перегорела лампа освещения.
30630;КЦ-2 Т/А 325 Отсек пожаротушения, пыль на технологическом оборудовании. 
30631;Недостаточное освещение, перегорела лампа, арматурный блок ППГ.
30632;Наличие промывочной жидкости в КШТ ГПА №-917.
30633;АЦ, канализационная насосная станция. Отсутствует указатель направления вращения эл. двигателя.
30634;Низкое давление в огнетушителе ОП-08 №379 (апаратная, ДКС) 
30635;Неисправна лампа аварийного освещения переходной галереи БППП / ЦРМ
30636;Неисправна лампа аварийного освещения переходной галереи БППП / ЦРМ
30637;Посторонние предметы вдоль здания ЦПГ, со стороны входных коллекторов.
30638;Отсутствует пломба входа в здание блок-бокса насосной метанола.
30639;Оборван провод заземления на приборе КИП, АВО-1 очереди ДКС.
30640;Не читаемая табличка на кр.№2 ГПА №722
30641;Образовалась промоина на кустовой площадке. 
30642;Слетел защитный колпак с конца задавочной линии затрубного пространства скважины 5114
30643;Слетела бирка с обозначением ЗРА №12 скважины 5033
30644;Поз.3  (Площадка теплообменников).20Т-1/1 отсутствует бирка с номером ЗРА вход сырого газа.
30645;Поз.27-Не обозначено мало заметное препятствие на пути передвижения .(линия дренажа).
30646;Поз.27 Лужа талой воды на входе в помещение (Здание аварийных кранов).
30647;На площадке складирования металлолома опасно торчит арматура. Риск травмирования работника.
30648;Износ приводного ремня вентилятора П-1-1 ЦПГ. 
30649;Нарушена изоляция пересного провода удленителя 220 в. Возможно поражение электрическим током.
30650;Не исправен доводчик двери на первом этаже в БППП.
30651;При подготовке к выполнению работы в БВС выявлена болгарка с поврежденной изоляцией провода 220в. Риск поражения электрическим током работника.
30652;Недостаточный уровень масла в Н-4а-2 ЦРДиМ. Возможна поломка оборудования.
30653;Не закреплен провод заземления электро двигателя Н-10А-3 ЦРДиМ.
30654;Свищ на дренажном трубопроводе от насосов Н-2а-1,2 ЦРДиМ. 
30655;Посторонние предметы в отсеке вентилятора ВХ-4 ЦРДиМ. Не убрана краска.
30656;Посторонние предметы в отсеке вентилятора ВХ-5 ЦРДиМ. 
30657;Истек срок годности огнетушителя в блок боксе хранения пропана. 
30658;На входной двери КОС ГП-1, в нарушении требований СТО Газпром добыча Ямбург 3.1-373-2020, отсутствует табличка с указанием наименования объекта, категории пожарной безопасности, применяемых СИЗ.
30659;КНС-УКПГ (туалет) не работает доводчик входной двери.
30660;УПТ (2 этаж) На электрозадвижке Э-1 провод питания выступает на пути передвижения оперативного персонала.
30661;РВС (со стороны УПТ) сломана ручка на входной двери.
30662;УПТ (2-этаж) неплотное прилегание окон с горизонтальными вентиляционными решётками с глухой створкой (подтекание во время дождя).
30663;Посторонние предметы в арматурном блоке ПОРД.
30664;УПТ в насосная Е-4 посторонние предметы (металлолом).
30665;Неисправен доводчик двери из ЦДМ в переходную галерею до ЦРД.
30666;Беспорядок в шкафу инструментов операторов (пульт).
30667;Отсуствует бирка с номером на клапане №32 в компрессорной ЦДиМ. 
30668;Отсутствует бирка с номером на вентиле №4.2 в арматурном блоке ПОРД.
30669;При входе в блок-бокс редуцирования сломана металлическая просечка входной площадки.
